beta: 26.0780sec, alpha:  6.6903sec, calc: 273813 / 499500
beta: 26.0693sec, alpha:  6.6666sec, calc: 273300 / 499500
beta: 25.3853sec, alpha:  6.5158sec, calc: 266087 / 499500
beta: 25.3452sec, alpha:  6.5305sec, calc: 265987 / 499500
beta: 25.8378sec, alpha:  6.6433sec, calc: 270948 / 499500
beta: 25.9505sec, alpha:  6.6831sec, calc: 272523 / 499500
beta: 25.3462sec, alpha:  6.5073sec, calc: 265752 / 499500
beta: 25.8405sec, alpha:  6.6415sec, calc: 270726 / 499500
beta: 26.2057sec, alpha:  6.7146sec, calc: 274880 / 499500
beta: 25.2747sec, alpha:  6.5129sec, calc: 265323 / 499500
beta: 24.8733sec, alpha:  6.3978sec, calc: 261013 / 499500
beta: 25.2417sec, alpha:  6.4841sec, calc: 264405 / 499500
beta: 25.5283sec, alpha:  6.5588sec, calc: 267043 / 499500
beta: 25.4575sec, alpha:  6.5389sec, calc: 266343 / 499500
beta: 26.1326sec, alpha:  6.7099sec, calc: 274194 / 499500
beta: 25.7388sec, alpha:  6.6209sec, calc: 269895 / 499500
beta: 26.1065sec, alpha:  6.7124sec, calc: 273746 / 499500
beta: 26.2211sec, alpha:  6.7311sec, calc: 274867 / 499500
beta: 25.8282sec, alpha:  6.6404sec, calc: 270969 / 499500
beta: 25.5945sec, alpha:  6.5776sec, calc: 269210 / 499500
beta: 25.4665sec, alpha:  6.5768sec, calc: 267422 / 499500
beta: 25.2776sec, alpha:  6.4981sec, calc: 264764 / 499500
beta: 24.9458sec, alpha:  6.4347sec, calc: 262062 / 499500
beta: 25.4727sec, alpha:  6.5429sec, calc: 267269 / 499500
beta: 25.9973sec, alpha:  6.6883sec, calc: 272781 / 499500
beta: 25.4011sec, alpha:  6.5073sec, calc: 266632 / 499500
beta: 26.2271sec, alpha:  6.7415sec, calc: 275039 / 499500
beta: 25.9176sec, alpha:  6.6496sec, calc: 271375 / 499500
beta: 25.8224sec, alpha:  6.6249sec, calc: 270330 / 499500
beta: 25.1843sec, alpha:  6.4558sec, calc: 263389 / 499500
beta: 26.3079sec, alpha:  6.7329sec, calc: 275266 / 499500
beta: 25.5900sec, alpha:  6.5724sec, calc: 267974 / 499500
beta: 26.0030sec, alpha:  6.6640sec, calc: 272187 / 499500
beta: 25.1050sec, alpha:  6.4691sec, calc: 263368 / 499500
beta: 25.1017sec, alpha:  6.4395sec, calc: 263572 / 499500
beta: 25.3323sec, alpha:  6.5274sec, calc: 266080 / 499500
beta: 25.7490sec, alpha:  6.5977sec, calc: 269901 / 499500
beta: 25.6628sec, alpha:  6.6015sec, calc: 269311 / 499500
beta: 25.6004sec, alpha:  6.5672sec, calc: 268567 / 499500
beta: 25.5158sec, alpha:  6.5314sec, calc: 267540 / 499500
beta: 26.0092sec, alpha:  6.6787sec, calc: 272338 / 499500
beta: 26.0687sec, alpha:  6.6993sec, calc: 273098 / 499500
beta: 26.3942sec, alpha:  6.7551sec, calc: 275935 / 499500
beta: 25.6016sec, alpha:  6.5527sec, calc: 268021 / 499500
beta: 25.3381sec, alpha:  6.4984sec, calc: 265668 / 499500
beta: 25.0545sec, alpha:  6.4351sec, calc: 263154 / 499500
beta: 25.3677sec, alpha:  6.5016sec, calc: 265709 / 499500
beta: 25.4560sec, alpha:  6.5420sec, calc: 266612 / 499500
beta: 24.9838sec, alpha:  6.4282sec, calc: 261642 / 499500
beta: 25.6660sec, alpha:  6.6034sec, calc: 268698 / 499500
beta: 25.3195sec, alpha:  6.5090sec, calc: 265402 / 499500
beta: 25.8182sec, alpha:  6.6295sec, calc: 270578 / 499500
beta: 25.8731sec, alpha:  6.6410sec, calc: 271331 / 499500
beta: 25.7468sec, alpha:  6.6218sec, calc: 270147 / 499500
beta: 25.8585sec, alpha:  6.6442sec, calc: 271390 / 499500
beta: 25.4691sec, alpha:  6.5452sec, calc: 267577 / 499500
beta: 26.2086sec, alpha:  6.7402sec, calc: 274662 / 499500
beta: 26.0289sec, alpha:  6.6778sec, calc: 272774 / 499500
beta: 25.6856sec, alpha:  6.6033sec, calc: 269794 / 499500
beta: 25.8900sec, alpha:  6.6785sec, calc: 271868 / 499500
beta: 25.8834sec, alpha:  6.6557sec, calc: 271924 / 499500
beta: 25.7440sec, alpha:  6.6288sec, calc: 270652 / 499500
beta: 25.7590sec, alpha:  6.6394sec, calc: 271490 / 499500
beta: 25.7961sec, alpha:  6.6410sec, calc: 271527 / 499500
beta: 25.6264sec, alpha:  6.5521sec, calc: 269030 / 499500
beta: 25.3520sec, alpha:  6.5228sec, calc: 266598 / 499500
beta: 25.6504sec, alpha:  6.6221sec, calc: 269584 / 499500
beta: 25.9299sec, alpha:  6.6483sec, calc: 272344 / 499500
beta: 25.6943sec, alpha:  6.5745sec, calc: 270053 / 499500
beta: 25.7660sec, alpha:  6.6257sec, calc: 270478 / 499500
beta: 25.3333sec, alpha:  6.4804sec, calc: 265636 / 499500
beta: 26.1471sec, alpha:  6.7155sec, calc: 274137 / 499500
beta: 26.5292sec, alpha:  6.7874sec, calc: 277614 / 499500
beta: 25.4084sec, alpha:  6.5196sec, calc: 266106 / 499500
beta: 25.7685sec, alpha:  6.6051sec, calc: 270462 / 499500
beta: 26.4350sec, alpha:  6.8036sec, calc: 277715 / 499500
beta: 25.7346sec, alpha:  6.6137sec, calc: 270017 / 499500
beta: 26.1499sec, alpha:  6.7336sec, calc: 274881 / 499500
